path,label,label_id,split,stem
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/actor/MVI_4516.npy,actor,50,train,MVI_4516
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/actor/MVI_4517.npy,actor,50,train,MVI_4517
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/actor/MVI_4518.npy,actor,50,train,MVI_4518
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/actor/MVI_4519.npy,actor,50,train,MVI_4519
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/actor/MVI_4791.npy,actor,50,train,MVI_4791
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/actor/MVI_4792.npy,actor,50,train,MVI_4792
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/actor/MVI_4793.npy,actor,50,train,MVI_4793
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/actor/MVI_5372.npy,actor,50,train,MVI_5372
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/actor/MVI_5373.npy,actor,50,train,MVI_5373
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/actor/MVI_5374.npy,actor,50,train,MVI_5374
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/actor/MVI_8921.npy,actor,50,train,MVI_8921
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/actor/MVI_8922.npy,actor,50,train,MVI_8922
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/adult/MVI_3824.npy,adult,51,train,MVI_3824
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/adult/MVI_3825.npy,adult,51,train,MVI_3825
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/adult/MVI_3972.npy,adult,51,train,MVI_3972
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/adult/MVI_3973.npy,adult,51,train,MVI_3973
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/adult/MVI_4119.npy,adult,51,train,MVI_4119
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/adult/MVI_4120.npy,adult,51,train,MVI_4120
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/adult/MVI_4121.npy,adult,51,train,MVI_4121
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/adult/MVI_4245.npy,adult,51,train,MVI_4245
/home/mathew/signbert_unofficial/notebooks/data/include50_rtmlib_1080/cache/left_hand/adult/MVI_4995.npy,adult,51,train,MVI_4995
